# Copyright (c) 1993-2009 Microsoft Corp.
#
# This is a sample HOSTS file used by Microsoft TCP/IP for Windows.
#
# This file contains the mappings of IP addresses to host names. Each
# entry should be kept on an individual line. The IP address should
# be placed in the first column followed by the corresponding host name.
# The IP address and the host name should be separated by at least one
# space.
#
# Additionally, comments (such as these) may be inserted on individual
# lines or following the machine name denoted by a '#' symbol.
#
# For example:
#
#      102.54.94.97     rhino.acme.com          # source server
#       38.25.63.10     x.acme.com              # x client host

# localhost name resolution is handled within DNS itself.
#	0.0.0.0       localhost
#	::1             localhost

#SKYPE:

127.0.0.1 live.rads.msn.com
127.0.0.1 ads1.msn.com
127.0.0.1  static.2mdn.net
127.0.0.1  g.msn.com
127.0.0.1  a.ads2.msads.net
127.0.0.1  b.ads2.msads.net
127.0.0.1  ad.doubleclick.net
127.0.0.1  ac3.msn.com
127.0.0.1  rad.msn.com
127.0.0.1  msntest.serving-sys.com
127.0.0.1  bs.serving-sys.com
127.0.0.1  flex.msn.com
127.0.0.1  ec.atdmt.com
127.0.0.1  cdn.atdmt.com
127.0.0.1  db3aqu.atdmt.com
127.0.0.1  cds26.ams9.msecn.net
127.0.0.1  sO.2mdn.net
127.0.0.1  aka-cdn-ns.adtech.de
127.0.0.1  secure.flashtalking.com
127.0.0.1  adnexus.net
127.0.0.1  adnxs.com
127.0.0.1  *.rad.msn.com
127.0.0.1  *.msads.net
127.0.0.1  *.msecn.net


### hosts win7 spy (07/05/2018 02:26)
### More info: https://github.com/crazy-max/WindowsSpyBlocker

0.0.0.0 a-0001.a-msedge.net
0.0.0.0 a-0003.a-msedge.net
0.0.0.0 a-0003.dc-msedge.net
0.0.0.0 adl.windows.com
0.0.0.0 cds1143.lon.llnw.net
0.0.0.0 cds1203.lon.llnw.net
0.0.0.0 cds1209.lon.llnw.net
0.0.0.0 cds1244.lon.llnw.net
0.0.0.0 cds1257.lon.llnw.net
0.0.0.0 cds1269.lon.llnw.net
0.0.0.0 cds1287.lon.llnw.net
0.0.0.0 cds1325.lon.llnw.net
0.0.0.0 cds177.dus.llnw.net
0.0.0.0 cds20411.lcy.llnw.net
0.0.0.0 cds20415.lcy.llnw.net
0.0.0.0 cds20424.lcy.llnw.net
0.0.0.0 cds20425.lcy.llnw.net
0.0.0.0 cds20435.lcy.llnw.net
0.0.0.0 cds20440.lcy.llnw.net
0.0.0.0 cds20445.lcy.llnw.net
0.0.0.0 cds20461.lcy.llnw.net
0.0.0.0 cds20469.lcy.llnw.net
0.0.0.0 cds20495.lcy.llnw.net
0.0.0.0 cds21233.lon.llnw.net
0.0.0.0 cds21238.lon.llnw.net
0.0.0.0 cds21257.lon.llnw.net
0.0.0.0 cds21258.lon.llnw.net
0.0.0.0 cds21261.lon.llnw.net
0.0.0.0 cds21267.lon.llnw.net
0.0.0.0 cds21309.lon.llnw.net
0.0.0.0 cds21313.lon.llnw.net
0.0.0.0 cds21321.lon.llnw.net
0.0.0.0 cds308.lcy.llnw.net
0.0.0.0 cds320.lcy.llnw.net
0.0.0.0 cds333.lcy.llnw.net
0.0.0.0 cds334.lcy.llnw.net
0.0.0.0 cds335.lcy.llnw.net
0.0.0.0 cds339.lcy.llnw.net
0.0.0.0 cds344.lcy.llnw.net
